id;first_name;last_name;password;phone_number;address;user_type;status
1;Lou;DuBuque;honest next;fry apropos discount;kookily gah including;CASHIER;INACTIVE
2;Ulices;Beier;unless beside;surprisingly;creolize;CASHIER;INACTIVE
3;Van;Hudson;fizz yippee;fast blah yearningly;weekender oof;CASHIER;INACTIVE
4;Natasha;Hahn;diverge what;frenetically;shoes;CASHIER;INACTIVE
5;Rosalinda;Rempel;aha uh-huh uselessly;a unto to;attraction;SELLER;INACTIVE
6;Brionna;Stark;when ew calmly;aggressive given;pish after;CASHIER;INACTIVE
7;Ulises;Gislason;brr even;monk;cant;CASHIER;INACTIVE
8;Elfrieda;Ernser;cheetah;unimportant whenever pomelo;atop;SELLER;ACTIVE
9;Courtney;Corkery;interpret plus;slowly amused;once;SELLER;INACTIVE
10;Brycen;Turcotte;instructive aggressive;yippee extra-small brick;ack;CASHIER;ACTIVE
